source_page,target,target_domain,ext
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/44226072-4b84-4f57-856a-85f044b12fd8/favicon.ico?format=100w,images.squarespace-cdn.com,.ico
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/2fe33c66-99fc-4237-97af-4305c67f17fd/favicon.ico?format=100w,images.squarespace-cdn.com,.ico
https://www.revitalizemedicalclinic.com/,http://static1.squarespace.com/static/6559250a0e8e533b7bdbb8de/t/66bfe3fd1623847614d30f84/1723851773213/REW3.jpg?format=1500w,static1.squarespace.com,.jpg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com,images.squarespace-cdn.com,
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/e8b70a03-cce9-4587-95aa-56541a310860/REW3.jpg?format=1500w,images.squarespace-cdn.com,.jpg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/05f65cdc-a0c6-4607-a7ba-4f222282547f/20231115_154336_67CE65+3.jpg,images.squarespace-cdn.com,.jpg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/407aa7d5-2bc5-4047-9aee-d666e76d3776/lobby.jpg,images.squarespace-cdn.com,.jpg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/1720372014523-GTUJPI2B3FQEJ7A857NP/image-asset.jpeg,images.squarespace-cdn.com,.jpeg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/70a18cce-f964-4219-a9fc-43e56c1c0d44/Screenshot+2023-12-28+at+2.50.13%E2%80%AFPM.png,images.squarespace-cdn.com,.png
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/06d1f309-a980-4a81-8fce-2a8a8a9c4dea/logo+biot.png,images.squarespace-cdn.com,.png
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/05f65cdc-a0c6-4607-a7ba-4f222282547f/20231115_154336_67CE65+3.jpg?format=100w,images.squarespace-cdn.com,.jpg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/05f65cdc-a0c6-4607-a7ba-4f222282547f/20231115_154336_67CE65+3.jpg?format=300w,images.squarespace-cdn.com,.jpg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/05f65cdc-a0c6-4607-a7ba-4f222282547f/20231115_154336_67CE65+3.jpg?format=500w,images.squarespace-cdn.com,.jpg
https://www.revitalizemedicalclinic.com/,https://images.squarespace-cdn.com/content/v1/6559250a0e8e533b7bdbb8de/05f65cdc-a0c6-4607-a7ba-4f222282547f/20231115_154336_67CE65+3.jpg?format=750w,images.squarespace-cdn.com,.jpg
